Clave,Descripcion,Marca,UnidadMedida,Linea,Division,Largo,Ancho,Precio,Descuento,Alta,Modificacion,Responsable,FraccionArancelaria
PL379,"POLYLAM 1.5 PCF 2"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,19.7,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL382,"POLYLAM 4.2 PCF 2"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,298.98,0,2014-03-28,2014-03-28,MIREYAS,39211901
IK32,"INSUFOAM 4000 2""  DE 1.22 X 3.05 MTS.  C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,3.05,1.22,328.62,0,2013-10-29,2019-06-05,MIREYAS,39211101
PL371,"POLYLAM 1.5 PCF 3"" X 48"" X 120"" BLACK",POLYLAM,PZ,PL,2,120,48,33.41,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL372,"POLYLAM 1.5"" D-1.7 .500"" AS DE 1.27 X 2.95 MTS.",POLYLAM,PZ,PL,2,2.95,1.27,300,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL385,"POLYLAM 4.2 PCF 3.5"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1459.35,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL386,"POLYLAM 4.2 PCF 4"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1703,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL387,"POLYLAM 6.5 PCF 1"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,715.21,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL388,"POLYLAM 6.5 PCF 1.5"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1084.23,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL389,"POLYLAM 6.5 PCF 2"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1451.23,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL391,"POLYLAM 6.5 PCF 3"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,2189.79,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL393,"POLYLAM 6.5 PCF 4"" X 47""  X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,2963.88,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL394,"POLYLAM 1.7 PCF 1"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,197.46,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL397,"POLYLAM 1.7 PCF 3.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,775.01,0,2014-03-28,2014-03-31,MIREYAS,39211901
PL398,"POLYLAM 1.7 PCF 4"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,871.43,0,2014-03-28,2014-03-31,MIREYAS,39211901
PL399,"POLYLAM 1.7 PCF 2"" X 48"" X 108"" BLUE",POLYLAM,PZ,PL,2,108,48,23.33,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL400,"POLYLAM 1.7 PCF 3"" X 48"" X 108"" BLUE",POLYLAM,PZ,PL,2,108,48,34.73,0,2014-03-28,2014-03-28,MIREYAS,39211901
PL402,"POLYLAM 2.2 PCF 2.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,644.37,0,2014-03-31,2014-03-31,MIREYAS,39211901
PR203,"POLYROLL 1/8"" DE 2 X 105 MTS BCO PUNTEADO A 1.20 Y .80 MTS",POLYROLL,PZ,RO,1,105,2,628.96,0.1,2014-01-23,2014-01-23,MIREYAS,39211901
PL403,"POLYLAM 2.2 PCF 3"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,756.35,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL411,"POLYLAM 1.2 PCF 4"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,636.08,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL441,"POLYLAM 3.3 PCF 2"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,725.36,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL407,"POLYLAM 1.2 PCF 1.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,235.35,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL410,"POLYLAM 1.2  PCF 3.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,592.53,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL412,"POLYLAM 1.5 PCF 1"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,158.63,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL414,"POLYLAM 1.5 PCF 2.5"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,447.9,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL417,"POLYLAM 1.5 PCF 4"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,721.09,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL419,"POLYLAM  1.5 PCF 1.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,310.52,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL421,,POLYLAM,PZ,PL,2,108,48,521.51,0,2014-03-31,2019-09-06,MIREYAS,39211901
PL422,"POLYLAM 1.5 PCF 3"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,603.94,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL428,"POLYLAM 1.2 PCF 2.5"" X 48"" X 108"" GREEN",POLYLAM,PZ,PL,2,108,48,395.02,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL432,"POLYLAM 3.3 PCF 1"" X 47"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,47,283.24,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL433,"POLYLAM 3.3 PCF 1.5"" X 47"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,47,435.01,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL434,"POLYLAM 3.3 PCF 2"" X 47"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,47,591.86,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL435,"POLYLAM 3.3 PCF 2.5"" X 47"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,47,747.69,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL438,"POLYLAM 3.3 PCF 4"" X 47"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,47,1264.94,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL442,"POLYLAM 3.3 PCF 2.5"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,912.16,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL443,"POLYLAM 3.3 PCF 3"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1097.43,0,2014-03-31,2014-03-31,MIREYAS,39211901
IP130,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" 40PSI DE 1.22 X 2.44 MTS.S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,2.44,1.22,469.45,0,2013-01-16,2013-01-16,MIREYAS,39211101
PF8,"POLYFOAM BOLSA 1/32"" DE .20 X .28 MTS.+PESTAÑA DE .05 MTS",POLYFOAM BOLSA,ML,OT,1,0.28,0.2,220,0,2013-02-07,2013-02-07,MIREYAS,39211901
IK26,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1"" DE 1.22 X 6.45 MTS.C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,6.45,1.22,347.57,0,2013-02-11,2013-02-11,MIREYAS,39211101
PL345,"POLYLAM 1"" D-1.7 .500"" DE 1.25  X 2.77 MTS. BCO",POLYLAM,PZ,PL,2,2.77,1.25,126.46,0,2013-02-13,2013-02-13,MIREYAS,39211901
OT13,TRANSFORMACION DE MATERIAL,OTROS,PZ,OT,6,0,0,312.83,0,2013-04-29,2013-04-29,MIREYAS,NULL
PY192,"POLYFOAM LINER D-6.5  .075""  DE .080 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.08,143.38,0,2013-06-03,2013-06-03,MIREYAS,NULL
PR183,"POLYROLL 1/8""  DE 1.22 X 137 MTS. BCO C/A 61 CM P/A 30 CM",POLYROLL,PZ,RO,1,137,1.22,479.37,0,2013-03-07,2013-03-07,MIREYAS,39211901
PR188,"POLYROLL D-1.2 .500"" DE 1.22 X 38 MTS. BCO",POLYROLL,PZ,RO,1,38,1.22,826.5,0,2013-03-07,2013-03-07,MIREYAS,39211901
PR190,"POLYROLL 3/32""  DE 1.83 X 228 MTS. BCO",POLYROLL,PZ,RO,1,228,1.83,1162.8,0,2013-03-07,2013-03-07,MIREYAS,39211901
PB20,"POLYBOARD 2"" D-4  DE 24"" X 108"" NATURAL DEVASTADO AMBAS CARAS.",POLYBOARD,PZ,PL,2,108,24,324.22,0,2013-03-21,2013-03-21,MIREYAS,39211901
PB21,"POLYBOARD 2"" D-6  DE 23"" X 108"" NATURAL DEVASTADO AMBAS CARAS",POLYBOARD,PZ,PL,2,108,23,475.61,0,2013-03-21,2013-03-21,MIREYAS,39211901
PL347,"POLYLAM 2.5"" D-3.3  .500"" DE 1.20 X 2.77 MTS. NEGRO",POLYLAM,PZ,PL,2,2.77,1.2,911.95,0,2013-03-21,2013-03-21,MIREYAS,39211901
PM100,"POLYLAM MDL .750"" D-1.2 .500"" BCO+D-2.5 .250"" BCO DE 1.20 X 2.80 MTS.",POLYLAM MDL,PZ,PL,2,2.8,1.2,208,0,2013-04-23,2013-04-23,MIREYAS,39211901
IP131,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" DE 1.22 X 5.45 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.45,1.22,326.33,0,2013-04-24,2013-04-24,MIREYAS,39211101
PL342,"POLYLAM 2"" D-1.7  .500"" AS DE 1.25 X 2.77 MTS.",POLYLAM,PZ,PL,2,2.77,1.25,370,0,2012-11-16,2012-11-16,MIREYAS,39211901
PY186,"POLYFOAM LINER D-6.5 .075"" DE .043 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.43,66.15,0,2012-12-20,2013-05-29,MIREYAS,NULL
PF7,"POLYFOAM BOLSA 1/16"" DE .08 X .36 MTS + PESTAÑA DE 0.025 MTS.",POLYFOAM BOLSA,ML,OT,1,0.36,0.8,110,0,2012-12-20,2013-01-22,MIREYAS,39211901
PM99,"POLYLAM MDL 2 1/4"" DE 2"" D-2.2 1"" BCO + D-4.5 .250"" AZUL  DE 1.20 X 2.75 MTS.",POLYLAM MDL,PZ,PL,2,2.75,1.2,620,0,2013-01-03,2013-01-03,MIREYAS,39211901
IK22,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1"" DE 1.22 X 2.44 MTS NARANJA C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,2.44,1.22,118,0,2013-01-04,2013-01-04,MIREYAS,39211101
IK24,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 2"" 40PSI  DE 1.22 X 2.44 MTS.S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,2.44,1.22,469.45,0,2013-01-16,2013-01-28,MIREYAS,39211101
IP129,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" 40 PSI  DE 1.22 X 2.44 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,2.44,1.22,234.84,0,2013-01-16,2013-01-16,MIREYAS,39211101
PY185,"POLYFOAM LINER D-11.5 .060"" DE .0425 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.425,94.01,0,2012-12-11,2013-02-21,MIREYAS,NULL
IK25,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 40PSI 2"" DE 1.22 X 2.44 MTS. NARANJA S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,2.44,1.22,469.45,0,2013-01-28,2013-01-28,MIREYAS,39211101
PL344,"POLYLAM 4"" D-2.2 .500"" DE 1.25 X 2.77 MTS. BLANCO",POLYLAM,PZ,PL,2,2.77,1.25,2413.97,0,2013-01-29,2013-05-27,MIREYAS,39211901
PR180,"POLYROLL 1/32""  DE 1.83 X 610 MTS.",POLYROLL,PZ,RO,1,6.1,1.83,1311,0,2013-02-14,2013-02-14,MIREYAS,39211901
PR186,"POLYROLL 1/32""  DE 1.22 X 412 MTS. BCO P/A 30 CM",POLYROLL,PZ,RO,1,4.12,1.22,492.59,0,2013-03-07,2013-03-07,MIREYAS,39211901
PR189,"POLYROLL  1/16""  DE 1.83 X 381 MTS. BCO",POLYROLL,PZ,RO,1,3.81,1.83,1407.33,0,2013-03-07,2013-03-07,MIREYAS,39211901
IP133,"INSUFOAM PLUS 1""  X 1.22 X 5.60 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.6,1.22,335.31,0,2013-04-24,2016-02-23,MIREYAS,39211101
IP135,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" DE 1.22 X 5.700 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.7,1.22,341.3,0,2013-04-24,2013-04-24,MIREYAS,39211101
PH54,"POLYFOAM HOJA  D-1.7 .500"" DE 1.20 X 1.02 MTS. BCO",POLYFOAM HOJA,PZ,PL,2,1.02,1.2,71.8,0,2013-01-22,2013-01-22,MIREYAS,39211901
IP136,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" DE 1.22 X 5.75 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.75,1.22,344.3,0,2013-04-24,2013-04-24,MIREYAS,39211101
IP137,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" DE 1.22 X 5.80 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.8,1.22,347.29,0,2013-04-24,2013-04-24,MIREYAS,39211101
IA120,"INSUFOAM 2"" DE 1.22 X 2.44 MTS. NEGRO S/M",POLIESTIRENO EXTRUIDO INSUFOAM,PZ,IN,4,2.44,1.22,469.45,0,2013-04-25,2015-12-01,MIREYAS,39211101
PL351,"POLYLAM 3"" D-1.5 .500"" DE 1.27 X 3.08 MTS. NEGRO",POLYLAM,PZ,PL,2,3.08,1.27,378.48,0,2013-05-08,2013-05-08,MIREYAS,39211901
PL353,"POLYLAM 1"" D-1.2 1"" DE 1.27 X 2.85 MTS. BLANCO",POLYLAM,PZ,PL,2,2.85,1.27,142.45,0,2013-06-13,2013-06-13,MIREYAS,39211901
PI9,"POLYFOAM LAMINATED 1/8"" L/A 1/C  DE 1.07 X 122 MTS. C/I",POLYFOAM LAMINATED,PZ,RO,1,122,1.07,728.15,0,2013-06-14,2019-04-02,MIREYAS,39211901
PL355,"POLYLAM 2.5"" D-1.2 1"" DE 1.22 X 3.05 MTS. BLANCO",POLYLAM,PZ,PL,2,3.05,1.22,366.27,0,2013-06-21,2013-06-24,MIREYAS,39211901
PM104,"POLYLAM MDL 1.750"", D-1.5 .750""+ D-1.7 1"", 1"" DE 1.27 X 2.80 MTS.  BCO",POLYLAM MDL,PZ,PL,2,2.8,1.27,360,0,2013-07-09,2013-07-09,MIREYAS,39211901
PY193,"POLYFOAM LINER D-7 .075"" DE .076 X 100 MTS. BLANCO",POLYFOAM LINER,PZ,RO,1,100,0.076,153.11,0,2013-07-23,2013-07-23,MIREYAS,NULL
IP138,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1""  DE 1.22 X 6.00 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,6,1.22,359.26,0,2013-08-02,2013-08-20,BELENL,39211101
PY194,"POLYFOAM LINER D-7 .075"" DE .054 X 100 MTS. BLANCO",POLYFOAM LINER,PZ,RO,1,100,0.054,104.05,0,2013-08-07,2013-08-07,BELENL,NULL
PH55,"POLYFOAM HOJA  D-2.5 .250"" DE 1.12 X 1.42 MTS. BCO",POLYFOAM HOJA,PZ,PL,2,1.42,1.12,49.68,0,2013-08-08,2013-08-08,MIREYAS,39211901
PH56,"POLYFOAM HOJA D-2.5  .250""  DE 1.12 X 1.42 MTS. BLANCO",POLYFOAM HOJA,PZ,PL,2,1.42,1.12,49.68,0,2013-08-12,2013-08-12,BELENL,39211901
IK21,"INSUFOAM 4000 1"" DE 1.22 X 4.17 MTS C/M.",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,4.17,1.22,224.71,0,2012-10-02,2017-07-21,BELENL,39211101
PR167,"POLYROLL 1/8""  DE .92 X 107 MTS. BLANCO",POLYROLL,PZ,RO,1,107,0.92,285,0,2012-10-18,2019-09-11,BELENL,39211901
PR168,"POLYROLL 1/8"" DE 1.06 X 107 MTS. BLANCO",POLYROLL,PZ,RO,1,107,1.06,319.2,0,2012-10-18,2017-01-20,BELENL,39211901
CP24,"CRYSTALPACK 3/16"" 1.22 X 123 MTS C/A 12 CM Y P/A 25 CM",CRYSTALPACK,PZ,NULL,3,123,1.22,377,0,2016-09-05,2016-09-05,MIREYAS,39211901
PH87,"POLYFOAM HOJA 4.2 PCF .500"" X 48"" X 108"" WHITE",POLYFOAM HOJA,PZ,NULL,2,108,48,11.45,0,2016-09-08,2019-07-17,MIREYAS,39211901
PH88,"POLYFOAM SHEET 1/32"" X 21.75"" X 5.74""",POLYFOAM HOJA,ML,NULL,2,5.74,21.75,0.05,0,2016-09-08,2016-10-11,MIREYAS,39211901
IK86,"INSUFOAM 4000 1"" X  48""  X  200"" C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,200,48,24.5,0,2016-09-09,2016-09-09,MIREYAS,39211101
IK87,"INSUFOAM 4000 1"" X 1.22 X 7.85 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,7.85,1.22,625.58,0,2016-09-09,2016-09-09,MIREYAS,39211101
PB27,"POLYBOARD 2"" D-2.2 DE 48"" X 108""  A/S",POLYBOARD,PZ,NULL,2,108,48,35.15,0,2016-09-21,2016-09-21,BELENL,39211901
PL553,"POLYLAM 1.7 PCF, 6"" X 48"" X108"" BLACK",POLYLAM,PZ,NULL,2,108,48,75.54,0,2016-09-28,2016-09-28,MIREYAS,39211901
PY216,"POLYFOAM LINER D-6 .125"" X 55"" X 320´ BLUE",POLYFOAM LINER,PZ,NULL,1,320,55,220,0,2016-09-28,2019-01-30,MIREYAS,39211901
PY217,"POLYFOAM LINER D-6 .125"" X 1.40 X 100 MTS BLACK",POLYFOAM LINER,PZ,NULL,1,320,55,220,0,2016-09-28,2019-07-23,MIREYAS,39211901
PH89,"POLYFOAM LAMINATED SHEET 1/32"" X 21.75"" X 5.74""",POLYFOAM HOJA,ML,NULL,2,5.74,27.75,0.05,0,2016-10-11,2019-04-02,MIREYAS,39211901
CP25,"CRYSTALPACK 1/2"" DE 1.22X61.5 MTS C/A 2 BOB DE 51 CM+RESTO Y P/A 1.90 MTS",CRYSTALPACK,PZ,NULL,3,61.5,1.22,377,0,2016-10-12,2016-10-13,MIREYAS,39211901
PL554,"POLYLAM 1.2 PCF, 2.5"" X 48"" X 76"" WHITE",POLYLAM,PZ,NULL,2,76,48,16.46,0,2016-10-17,2016-10-17,MIREYAS,39211901
IP184,"INSUFOAM PLUS 1"" X 1.22 X 6.10 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,4,6.1,1.22,507.4,0,2016-10-17,2016-10-17,MIREYAS,39211101
PL555,"POLYLAM 2.2 PCF, 2"" AS DE 48"" X 108""",POLYLAM,PZ,NULL,2,108,48,598.44,0,2016-10-17,2016-10-17,MIREYAS,39211901
IP185,"INSUFOAM PLUS 1"" X 1.22  X 5.50 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,4,5.5,1.22,457.62,0,2016-10-19,2016-10-19,MIREYAS,39211101
PR234,"POLYROLL 1/16""  DE 2 X 210 MTS. BLANCO C/A.45 P/A .55 MTS",POLYROLL,PZ,NULL,1,210,2,690.05,0,2016-07-27,2016-07-29,MIREYAS,39211901
PB26,"POLYBOARD 6PCF 2"" X 24"" X108"" WHITE",POLYBOARD,PZ,NULL,2,108,24,38.88,0,2016-07-28,2016-07-28,MIREYAS,39211901
IK82,"INSUFOAM 4000 1"" X 1.22 X 7.50 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,7.5,1.22,597.5,0,2016-07-28,2018-03-14,MIREYAS,39211101
IK83,"INSUFOAM 4000 1"" X 1.22  X  8.50 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,8.5,1.22,677.15,0,2016-07-28,2016-07-28,MIREYAS,39211101
PY213,"POLYFOAM LINER HD, D-7, .075"" X 118 MM X 100 MTS WHITE (TAPA:56MM)",POLYFOAM LINER,PZ,NULL,1,1,118,190,0,2016-07-29,2016-07-29,MIREYAS,NULL
PY214,"POLYFOAM LINER HD, D-7 .075"" X 196 MM X 100 MTS (TAPA:49MM)",POLYFOAM LINER,PZ,NULL,1,100,196,304.5,0,2016-07-29,2016-08-15,BELENL,NULL
IK84,"INSUFOAM 4000 1"" X 1.22  X  8.15 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,8.15,1.22,649.73,0,2016-08-02,2016-08-02,MIREYAS,39211101
IK85,"INSUFOAM 4000 1"" X 1.22 X 7.15 MTS. S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,7.15,1.22,569.42,0,2016-08-02,2016-08-02,MIREYAS,39211101
IA27,"POLIESTIRENO EXTRUIDO INSUFOAM D-32 1"" DE 1.22 X 5.95 MTS. AMARILLA S/M",POLIESTIRENO EXTRUIDO INSUFOAM,PZ,IN,2,5.95,1.22,103,0.1,2009-10-05,2010-06-16,CIDIREC04,39211101
PL83,"POLYLAM 1.5"" AS D-1.7 .500"" DE 1.27 X 2.80 MTS.",POLYLAM,PZ,PL,2,2.8,1.27,243,0.2,2009-10-02,2014-03-25,MIREYAS,39211901
PL75,"POLYLAM 2"" D-1.2 1"" DE 1.27 X 2.35 MTS. BLANCO",POLYLAM,PZ,PL,2,2.35,1.27,254,0.2,NULL,2010-06-16,CIDIREC04,39211901
PL76,"POLYLAM 1.5"" D-1.2 1"" DE 1.27 X 2.80 MTS. BLANCO",POLYLAM,PZ,PL,2,2.8,1.27,200,0.2,NULL,2011-06-08,ENRIQUEE,39211901
PM5,"POLYLAM MDL 1 5/8"" D-1.7 1""+D-1.7 .500"" BLANCO+D-6 .125"" AZUL DE 1.27 X 2.80 MTS.",POLYLAM MDL,PZ,PL,2,2.8,1.27,237,0,NULL,2011-03-07,ALEJANDRA,39211901
PM11,"POLYLAM MDL 1.125"" D-2.2 1"" + D-8 .125"" DE 1.27 X 2.80 MTS. BLANCO",POLYLAM MDL,PZ,PL,2,2.8,1.27,236,0.15,2009-10-02,2009-10-13,ANA,39211901
PL85,"POLYLAM 2"" AS D-1.2 .500"" DE 1.27 X 2.80 MTS.",POLYLAM,PZ,PL,2,2.8,1.27,266,0.2,2009-10-05,2011-05-30,ALEJANDRA,39211901
PR26,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. BLANCO",POLYROLL,PZ,RO,1,30,1.22,1061,0.2,NULL,2011-01-10,ALEJANDRA,39211901
PR28,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. AZUL FUERTE",POLYROLL,PZ,RO,1,30,1.22,1352,0.2,NULL,2015-10-20,MIREYAS,39211901
PR29,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. NARANJA",POLYROLL,PZ,RO,1,30,1.22,1352,0.2,NULL,2015-10-20,MIREYAS,39211901
PR30,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. NEGRO",POLYROLL,PZ,RO,1,30,1.22,1352,0,NULL,2019-09-11,BELENL,39211901
PR32,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. VERDE RAFIA",POLYROLL,PZ,RO,1,30,1.22,1352,0.2,NULL,2011-01-10,ALEJANDRA,39211901
PR34,"POLYROLL D-4.5 .250"" DE 1.22 X 30 MTS. TRANSICION",POLYROLL,PZ,RO,1,30,1.22,1049,0.2,NULL,2010-09-01,SONIA,39211901
PM27,"POLYLAM MDL 1.5"" D-4.5 .250"" AMARILLO + D-2.2 1"" + D-4.5 .250"" NARANJA  DE 1.20 X 2.75 MTS.",POLYLAM MDL,PZ,PL,2,2.75,1.27,392,0.2,2009-11-13,2010-06-17,CIDIREC04,39211901
PY46,POLYFOAM LINER D-11.5 C/EN RECTANGULOS DE 33 X 45 CMS BLANCO,POLYFOAM LINER,PZ,RO,1,0.45,33,2067,0,2009-11-13,2009-11-25,ANA,NULL
PL106,"POLYLAM 1.5"" D-4.2 .500"" DE 1.20 X 2.11 MTS. BLANCO 0 0",POLYLAM,PZ,PL,2,2.11,1.2,330,0,2009-10-30,2010-06-16,CIDIREC04,39211901
PY40,"POLYFOAM LINER D-6.5 .075"" DE 1.40 X 100 MTS. BLANCO C/A 60 MM",POLYFOAM LINER,PZ,RO,1,100,1.4,1813,0.1,2009-10-13,2009-11-25,ANA,NULL
PR35,"POLYROLL D-1.7 .500"" DE 1.30 X 60 MTS. BLANCO",POLYROLL,PZ,RO,1,60,1.3,1718,0.2,NULL,2011-03-07,ALEJANDRA,39211901
PR17,"POLYROLL .500"" D-3.3 DE 1.22 X 30 MTS. NEGRO C/A 20 CMS. C/PRECORTE A 1/2""",POLYROLL,PZ,RO,1,30,1.22,1874,0.16,2009-11-11,2017-01-20,BELENL,39211901
PM25,"POLYLAM MDL 1.5"" D-4.5.250"" AMARILLO + D-2.2 1"" + D-4.5 .250"" VERDE DE 1.20 X 2.75 MTS.",POLYLAM MDL,PZ,PL,2,2.75,1.27,392,0.2,2009-11-12,2010-06-17,CIDIREC04,39211901
PH13,"POLYFOAM HOJA D-8 .125"" 16 X 85.5""",POLYFOAM HOJA,PZ,PL,2,0,0,177,0,2009-11-13,2011-03-14,ALEJANDRA,39211901
PL117,"POLYLAM 1"" AS D-1.2 .500"" DE 1.27 X 2.80 MTS.",POLYLAM,PZ,PL,2,2.8,1.27,149,0.14,2009-11-17,2010-06-25,CIDIREC04,39211901
IK4,"POLIESTIRENO EXTRUIDO INSUFOAM D-40 1""   DE 1.22 X 1.65 MTS. AMARILLO S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,1.65,1.22,108.64,0,2009-11-19,2010-04-16,CIDIREC04,39211101
IA33,"POLIESTIRENO EXTRUIDO INSUFOAM D-32 1"" DE 1.22 X 2.05 MTS. AMARILLA S/M",POLIESTIRENO EXTRUIDO INSUFOAM,PZ,IN,2,2.05,1.22,135.13,0.1,2009-11-19,2010-06-16,CIDIREC04,39211101
PY48,"POLYFOAM LINER D-7 .075"" DE 1.40 X 100 MTS. BLANCO C/A 68 MM",POLYFOAM LINER,PZ,RO,1,100,1.4,1975,0.14,2009-11-20,2009-11-25,ANA,NULL
PH10,"POLYFOAM HOJA AS .375"" D-1.2 .500"" DE 1.27 X 2.80 MTS. DEVASTADA",POLYFOAM HOJA,PZ,PL,2,2.8,1.27,98,0,2009-10-21,2010-06-17,CIDIREC04,39211901
IP26,"INSUFOAM PLUS D-32 1.5"" DE 1.22 X 6.10 MTS. BLANCA C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,4,6.1,1.22,446.4,0,2009-10-21,2015-09-23,MIREYAS,39211101
